Humidity,PM2.5,Precipitation,Temperature,Wind Speed
68.75,35.92,1.6,68.86,5.33
67.35,28.65,2.8,68.82,4.65
68.11,35.1,0,71.52,3.94
70.95,53.08,0,74.3,4.31
72.3,45.17,0,72.05,3.81
70.71,29.19,0,71.94,4.58
82.88,21.31,6.2,65.86,3.5
74.56,18.06,28.4,69.12,4.19
78.29,16.75,9.6,67.96,4.73
73.63,23.42,0,69.61,3.69
70.36,29.02,0,73.51,3.4
61.73,30.65,0,76.59,3.77
56.95,29.71,0,77.56,4.35
