PM2.5,Humidity,Precipitation,Temperature,Wind Speed
60.92,55.44,0,61.21,3.92
70.46,59.74,0,60.2,5.59
96.21,58.79,0,61.48,3.25
70.04,59.77,0,61.55,3.83
65.33,67.92,0,60.61,3.94
86.54,70.48,0,61.21,3.35
72.92,60.56,0,61.74,4.75
73.75,65.57,0,61.18,4.73
68.42,67.82,0,60.39,4.85
77.96,71.6,0,60.05,4.75
75.12,78.25,3,55.81,4.1
70.17,71.35,0.2,57.5,3.73
79.04,72.12,0,59.71,3.9
